IND,city,lat_city,lon_city
714,Montbrun,44.5049278,1.9006529
715,Cajarc,44.486397,1.8421185
716,Fréthun,50.9125804,1.8159416
718,Callac,48.40491069999999,-3.426315
719,Calonne-Ricouart,50.4869689,2.481762
720,Cambo-les-Bains,43.3609139,-1.3994687
721,Cambrai,50.1759602,3.2356613
722,la Secuita,41.2040962,1.280166
724,Campagnac,44.4174,3.08708
725,Campagne-sur-Aude,42.9160337,2.2068468
726,Candé,47.560347,-1.0414584
727,Cannes,43.5515198,7.0134418
729,Cantin,50.3112491,3.1248878
730,Cany-Barville,49.7868965,0.6358290999999999
731,Cap-d'Ail,43.7230453,7.396937299999999
732,Capdenac-Gare,44.5741127,2.0805165
733,Capvern,43.1023576,0.316218
734,Carbonne,43.2958159,1.2250686
735,Carcassonne,43.2130358,2.3491069
736,Carentan-les-Marais,49.30329,-1.2463444
737,Carhaix-Plouguer,48.2764997,-3.5711477
738,Carignan,49.6319856,5.1682498
740,Carmaux,44.0496296,2.1583033
741,Carnac,47.5836629,-3.0794428
742,Locarn,48.3194003,-3.4223551
743,Roquebrune-Cap-Martin,43.7641047,7.456569699999999
744,Carnoules,43.3024863,6.189861199999999
745,Carpentras,44.0554043,5.0487681
746,Épinay-sur-Seine,48.9525181,2.3145039
747,Carry-le-Rouet,43.3316442,5.1522977
748,La Tour-de-Salvagny,45.8129372,4.716389299999999
749,Bavinchove,50.7861456,2.4558945
750,Cassis,43.2140359,5.5396318
751,Castagnède,43.0538801,0.9761516
752,Castelnau-d'Estrétefonds,43.78250999999999,1.3590892
753,Castelnaudary,43.3192021,1.9533495
754,Castelsarrasin,44.0395151,1.1072875
755,Castillon-la-Bataille,44.8533324,-0.0450873
756,Castres,43.6053809,2.2411289
757,Cattenières,50.1379568,3.3320041
